135 0.03763465362228247	0.00459252
140 0.04784930552987511	0.00404404
145 0.06473543093167308	0.00435674
150 0.0866139939293877	0.00412487
155 0.1098110770877536	0.00522109
160 0.1316404438618408	0.00527771
165 0.1507372064830938	0.00491404
170 0.1686381639029494	0.00476634
175 0.1843423700499146	0.00375358
180 0.1982956303423393	0.00294465
185 0.2108510539066659	0.00263474
190 0.2227540955712656	0.0034471
195 0.2327079580484182	0.00371319
200 0.2410961942090502	0.00384171
210 0.2539455698538495	0.00406917
220 0.261993561068435	0.00431939
230 0.269180385694627	0.00402916
240 0.275078370632918	0.00361166
250 0.2802608935111895	0.00332967
260 0.2848771996523541	0.00312627
270 0.2888581525109473	0.00290691
280 0.2922042184846315	0.00276268
290 0.2950747316172693	0.00266147
300 0.2975814093028947	0.0025463
320 0.3015126032269208	0.00245909
340 0.3042501836633139	0.00261947
360 0.3063132187393418	0.00279662
380 0.3078828746255493	0.00286833
400 0.3089848737101829	0.00276111
420 0.3099097419728497	0.00235558
440 0.3115530178582346	0.00166667
480 0.3128745693728091	0.00140405
500 0.3134185460497982	0.00135568
